article_id,title,content,source,category,published_date,url,relations
MN001,"한서해운, 한서파이오니어호 부산항 중심 노선 개편","한서해운이 운영하는 컨테이너선 한서파이오니어호가 부산항 → 싱가포르항 → 로테르담항 노선에 투입된다. 한서해운 관계자는 ""부산항을 중심으로 한 기항 일정을 통해 정시성을 확보하겠다""고 밝혔다. 한서파이오니어호는 이번 개편으로 부산항, 싱가포르항, 로테르담항에 정기 기항하게 된다. 업계에서는 컨테이너선 시장의 수급 상황을 고려한 노선 조정으로 평가하고 있다.",항만경제신문,항로/노선,2026-02-14,https://example.com/maritime/001,"[[""OPERATES"", ""한서해운"", ""한서파이오니어""], [""CALLS_AT"", ""한서파이오니어"", ""부산항""], [""CALLS_AT"", ""한서파이오니어"", ""싱가포르항""], [""CALLS_AT"", ""한서파이오니어"", ""로테르담항""]]"
MN002,"한서해운, 한서오디세이호 부산항 중심 노선 개편","한서해운이 운영하는 컨테이너선 한서오디세이호가 부산항 → 인천항 노선에 투입된다. 한서해운 관계자는 ""부산항을 중심으로 한 기항 일정을 통해 정시성을 확보하겠다""고 밝혔다. 한서오디세이호는 이번 개편으로 부산항, 인천항에 정기 기항하게 된다. 업계에서는 컨테이너선 시장의 수급 상황을 고려한 노선 조정으로 평가하고 있다.",쉬핑저널,항로/노선,2026-01-14,https://example.com/maritime/002,"[[""OPERATES"", ""한서해운"", ""한서오디세이""], [""CALLS_AT"", ""한서오디세이"", ""부산항""], [""CALLS_AT"", ""한서오디세이"", ""인천항""]]"
MN003,"한서해운, 한서글로리호 광양항 중심 노선 개편","한서해운이 운영하는 벌크선 한서글로리호가 광양항 → 싱가포르항 노선에 투입된다. 한서해운 관계자는 ""광양항을 중심으로 한 기항 일정을 통해 정시성을 확보하겠다""고 밝혔다. 한서글로리호는 이번 개편으로 광양항, 싱가포르항에 정기 기항하게 된다. 업계에서는 벌크선 시장의 수급 상황을 고려한 노선 조정으로 평가하고 있다.",해양데일리,항로/노선,2026-06-23,https://example.com/maritime/003,"[[""OPERATES"", ""한서해운"", ""한서글로리""], [""CALLS_AT"", ""한서글로리"", ""광양항""], [""CALLS_AT"", ""한서글로리"", ""싱가포르항""]]"
MN004,"대양상선, 대양스피릿호 울산항 중심 노선 개편","대양상선이 운영하는 LNG운반선 대양스피릿호가 울산항 → 싱가포르항 노선에 투입된다. 대양상선 관계자는 ""울산항을 중심으로 한 기항 일정을 통해 정시성을 확보하겠다""고 밝혔다. 대양스피릿호는 이번 개편으로 울산항, 싱가포르항에 정기 기항하게 된다. 업계에서는 LNG운반선 시장의 수급 상황을 고려한 노선 조정으로 평가하고 있다.",해양데일리,항로/노선,2026-04-23,https://example.com/maritime/004,"[[""OPERATES"", ""대양상선"", ""대양스피릿""], [""CALLS_AT"", ""대양스피릿"", ""울산항""], [""CALLS_AT"", ""대양스피릿"", ""싱가포르항""]]"
MN005,"대양상선, 대양호라이즌호 광양항 중심 노선 개편","대양상선이 운영하는 벌크선 대양호라이즌호가 광양항 → 로테르담항 노선에 투입된다. 대양상선 관계자는 ""광양항을 중심으로 한 기항 일정을 통해 정시성을 확보하겠다""고 밝혔다. 대양호라이즌호는 이번 개편으로 광양항, 로테르담항에 정기 기항하게 된다. 업계에서는 벌크선 시장의 수급 상황을 고려한 노선 조정으로 평가하고 있다.",해양데일리,항로/노선,2026-06-14,https://example.com/maritime/005,"[[""OPERATES"", ""대양상선"", ""대양호라이즌""], [""CALLS_AT"", ""대양호라이즌"", ""광양항""], [""CALLS_AT"", ""대양호라이즌"", ""로테르담항""]]"
MN006,"대양상선, 대양챔피언호 부산항 중심 노선 개편","대양상선이 운영하는 컨테이너선 대양챔피언호가 부산항 → 로테르담항 노선에 투입된다. 대양상선 관계자는 ""부산항을 중심으로 한 기항 일정을 통해 정시성을 확보하겠다""고 밝혔다. 대양챔피언호는 이번 개편으로 부산항, 로테르담항에 정기 기항하게 된다. 업계에서는 컨테이너선 시장의 수급 상황을 고려한 노선 조정으로 평가하고 있다.",마리타임뉴스,항로/노선,2026-01-14,https://example.com/maritime/006,"[[""OPERATES"", ""대양상선"", ""대양챔피언""], [""CALLS_AT"", ""대양챔피언"", ""부산항""], [""CALLS_AT"", ""대양챔피언"", ""로테르담항""]]"
MN007,"청림로지스틱스, 청림익스프레스호 인천항 중심 노선 개편","청림로지스틱스이 운영하는 컨테이너선 청림익스프레스호가 인천항 → 싱가포르항 노선에 투입된다. 청림로지스틱스 관계자는 ""인천항을 중심으로 한 기항 일정을 통해 정시성을 확보하겠다""고 밝혔다. 청림익스프레스호는 이번 개편으로 인천항, 싱가포르항에 정기 기항하게 된다. 업계에서는 컨테이너선 시장의 수급 상황을 고려한 노선 조정으로 평가하고 있다.",해양데일리,항로/노선,2026-05-14,https://example.com/maritime/007,"[[""OPERATES"", ""청림로지스틱스"", ""청림익스프레스""], [""CALLS_AT"", ""청림익스프레스"", ""인천항""], [""CALLS_AT"", ""청림익스프레스"", ""싱가포르항""]]"
MN008,"청림로지스틱스, 청림웨이브호 부산항 중심 노선 개편","청림로지스틱스이 운영하는 컨테이너선 청림웨이브호가 부산항 → 광양항 노선에 투입된다. 청림로지스틱스 관계자는 ""부산항을 중심으로 한 기항 일정을 통해 정시성을 확보하겠다""고 밝혔다. 청림웨이브호는 이번 개편으로 부산항, 광양항에 정기 기항하게 된다. 업계에서는 컨테이너선 시장의 수급 상황을 고려한 노선 조정으로 평가하고 있다.",쉬핑저널,항로/노선,2026-01-23,https://example.com/maritime/008,"[[""OPERATES"", ""청림로지스틱스"", ""청림웨이브""], [""CALLS_AT"", ""청림웨이브"", ""부산항""], [""CALLS_AT"", ""청림웨이브"", ""광양항""]]"
MN009,"파도글로벌해운, 파도스타호 울산항 중심 노선 개편","파도글로벌해운이 운영하는 벌크선 파도스타호가 울산항 → 광양항 노선에 투입된다. 파도글로벌해운 관계자는 ""울산항을 중심으로 한 기항 일정을 통해 정시성을 확보하겠다""고 밝혔다. 파도스타호는 이번 개편으로 울산항, 광양항에 정기 기항하게 된다. 업계에서는 벌크선 시장의 수급 상황을 고려한 노선 조정으로 평가하고 있다.",마리타임뉴스,항로/노선,2026-01-23,https://example.com/maritime/009,"[[""OPERATES"", ""파도글로벌해운"", ""파도스타""], [""CALLS_AT"", ""파도스타"", ""울산항""], [""CALLS_AT"", ""파도스타"", ""광양항""]]"
MN010,"파도글로벌해운, 파도블루호 인천항 중심 노선 개편","파도글로벌해운이 운영하는 컨테이너선 파도블루호가 인천항 → 로테르담항 노선에 투입된다. 파도글로벌해운 관계자는 ""인천항을 중심으로 한 기항 일정을 통해 정시성을 확보하겠다""고 밝혔다. 파도블루호는 이번 개편으로 인천항, 로테르담항에 정기 기항하게 된다. 업계에서는 컨테이너선 시장의 수급 상황을 고려한 노선 조정으로 평가하고 있다.",쉬핑저널,항로/노선,2026-01-14,https://example.com/maritime/010,"[[""OPERATES"", ""파도글로벌해운"", ""파도블루""], [""CALLS_AT"", ""파도블루"", ""인천항""], [""CALLS_AT"", ""파도블루"", ""로테르담항""]]"
